"Temps","Destinació principal","País de residència",Mètriques,Valors,estatus,Dada provisional,
"06/2020","Catalunya","Resta d'Amèrica","Turistes (milers)",:,"(u) ","p"
"06/2020","Catalunya","Resta del món","Turistes (milers)",:,"(u) ","p"
"06/2020","Catalunya","Total","Turistes (milers)","76.6","","p"
"03/2020","Catalunya","Alemanya","Turistes (milers)","31.1","","p"
"03/2020","Catalunya","Bèlgica","Turistes (milers)","7.2","","p"
"03/2020","Catalunya","França","Turistes (milers)","103.7","","p"
"03/2020","Catalunya","Irlanda","Turistes (milers)","3.8","(*) ","p"
"03/2020","Catalunya","Itàlia","Turistes (milers)","25.7","","p"
"03/2020","Catalunya","Països Baixos","Turistes (milers)","14.5","","p"
"03/2020","Catalunya","Països nòrdics","Turistes (milers)","13.6","","p"
"03/2020","Catalunya","Portugal","Turistes (milers)","4.8","(*) ","p"
"03/2020","Catalunya","Regne Unit","Turistes (milers)","35.4","","p"
"03/2020","Catalunya","Rússia","Turistes (milers)","12.7","","p"
"03/2020","Catalunya","Suïssa","Turistes (milers)","3.2","(*) ","p"
"03/2020","Catalunya","Resta d'Europa","Turistes (milers)","48.8","","p"
"03/2020","Catalunya","Estats Units","Turistes (milers)","28.1","","p"
"03/2020","Catalunya","Resta d'Amèrica","Turistes (milers)","31.3","","p"
"03/2020","Catalunya","Resta del món","Turistes (milers)","42.9","","p"
"03/2020","Catalunya","Total","Turistes (milers)","406.7","","p"
"02/2020","Catalunya","Alemanya","Turistes (milers)","56","","p"
"02/2020","Catalunya","Bèlgica","Turistes (milers)","14.5","","p"
"02/2020","Catalunya","França","Turistes (milers)","238.6","","p"
"02/2020","Catalunya","Irlanda","Turistes (milers)","10.2","","p"
"02/2020","Catalunya","Itàlia","Turistes (milers)","45.5","","p"
"02/2020","Catalunya","Països Baixos","Turistes (milers)","32.5","","p"
"02/2020","Catalunya","Països nòrdics","Turistes (milers)","30.8","","p"
"02/2020","Catalunya","Portugal","Turistes (milers)","18.2","","p"
"02/2020","Catalunya","Regne Unit","Turistes (milers)","112","","p"
"02/2020","Catalunya","Rússia","Turistes (milers)","29.8","","p"
"02/2020","Catalunya","Suïssa","Turistes (milers)","10.7","","p"
"02/2020","Catalunya","Resta d'Europa","Turistes (milers)","123.6","","p"
"02/2020","Catalunya","Estats Units","Turistes (milers)","46.9","","p"
"02/2020","Catalunya","Resta d'Amèrica","Turistes (milers)","72","","p"
"02/2020","Catalunya","Resta del món","Turistes (milers)","123.4","","p"
"02/2020","Catalunya","Total","Turistes (milers)","964.7","","p"
"01/2020","Catalunya","Alemanya","Turistes (milers)","51.3","","p"
"01/2020","Catalunya","Bèlgica","Turistes (milers)","15.2","","p"
"01/2020","Catalunya","França","Turistes (milers)","176.9","","p"
"01/2020","Catalunya","Irlanda","Turistes (milers)","6.1","(*) ","p"
"01/2020","Catalunya","Itàlia","Turistes (milers)","62.5","","p"
"01/2020","Catalunya","Països Baixos","Turistes (milers)","18.2","","p"
"01/2020","Catalunya","Països nòrdics","Turistes (milers)","17","","p"
"01/2020","Catalunya","Portugal","Turistes (milers)","10.4","(*) ","p"
"01/2020","Catalunya","Regne Unit","Turistes (milers)","62.1","","p"
"01/2020","Catalunya","Rússia","Turistes (milers)","36.6","","p"
"01/2020","Catalunya","Suïssa","Turistes (milers)","10","","p"
"01/2020","Catalunya","Resta d'Europa","Turistes (milers)","103.8","","p"
"01/2020","Catalunya","Estats Units","Turistes (milers)","51.2","","p"
"01/2020","Catalunya","Resta d'Amèrica","Turistes (milers)","73.9","","p"
"01/2020","Catalunya","Resta del món","Turistes (milers)","174","","p"
"01/2020","Catalunya","Total","Turistes (milers)","869.2","","p"
"12/2019","Catalunya","Alemanya","Turistes (milers)","52.7","",""
"12/2019","Catalunya","Bèlgica","Turistes (milers)","14","",""
"12/2019","Catalunya","França","Turistes (milers)","186.5","",""
"12/2019","Catalunya","Irlanda","Turistes (milers)","9.1","",""
"12/2019","Catalunya","Itàlia","Turistes (milers)","88.5","",""
"12/2019","Catalunya","Països Baixos","Turistes (milers)","31","",""
"12/2019","Catalunya","Països nòrdics","Turistes (milers)","24.7","",""
"12/2019","Catalunya","Portugal","Turistes (milers)","11.3","",""
"12/2019","Catalunya","Regne Unit","Turistes (milers)","66.6","",""
"12/2019","Catalunya","Rússia","Turistes (milers)","33.5","",""
"12/2019","Catalunya","Suïssa","Turistes (milers)","20.1","",""
"12/2019","Catalunya","Resta d'Europa","Turistes (milers)","139.1","",""
"12/2019","Catalunya","Estats Units","Turistes (milers)","70.3","",""
"12/2019","Catalunya","Resta d'Amèrica","Turistes (milers)","75.3","",""
"12/2019","Catalunya","Resta del món","Turistes (milers)","170.4","",""
"12/2019","Catalunya","Total","Turistes (milers)","993.2","",""
"11/2019","Catalunya","Alemanya","Turistes (milers)","71.6","",""
"11/2019","Catalunya","Bèlgica","Turistes (milers)","23.2","",""
"11/2019","Catalunya","França","Turistes (milers)","215.1","",""
"11/2019","Catalunya","Irlanda","Turistes (milers)","9.1","",""
"11/2019","Catalunya","Itàlia","Turistes (milers)","89.6","",""
"11/2019","Catalunya","Països Baixos","Turistes (milers)","33.7","",""
"11/2019","Catalunya","Països nòrdics","Turistes (milers)","29.1","",""
"11/2019","Catalunya","Portugal","Turistes (milers)","7.7","(*)",""
"11/2019","Catalunya","Regne Unit","Turistes (milers)","72.5","",""
